"Samples per sec. = 240/1"
""
""
"sec","PSI","PSI"
1.267, 1.4582E+02, 1.4653E+02
1.275, 1.4582E+02, 1.4653E+02
1.283, 1.4582E+02, 1.4582E+02
1.292, 1.4582E+02, 1.4653E+02
1.300, 1.4582E+02, 1.4582E+02
1.308, 1.4511E+02, 1.4582E+02
1.317, 1.2811E+02, 1.4210E+02
1.325, 1.2156E+02, 1.2882E+02
1.333, 1.3697E+02, 1.1785E+02
1.342, 1.4068E+02, 1.0687E+02
1.350, 1.3697E+02, 9.6422E+01
1.358, 1.3927E+02, 8.7746E+01
1.367, 1.4369E+02, 7.9602E+01
1.375, 1.4299E+02, 7.2166E+01
1.383, 1.4210E+02, 6.5615E+01
1.392, 1.4369E+02, 5.9772E+01
1.400, 1.4511E+02, 5.3930E+01
1.408, 1.4369E+02, 4.9503E+01
1.417, 1.4440E+02, 4.5077E+01
1.425, 1.4440E+02, 4.0651E+01
1.433, 1.4511E+02, 3.6933E+01
1.442, 1.4440E+02, 3.3215E+01
1.450, 1.4440E+02, 3.0382E+01
1.458, 1.4511E+02, 2.7372E+01
1.467, 1.4511E+02, 2.4362E+01
1.475, 1.4511E+02, 2.2238E+01
1.483, 1.4511E+02, 1.9936E+01
1.492, 1.4511E+02, 1.7811E+01
1.500, 1.4511E+02, 1.5687E+01
1.508, 1.4511E+02, 1.4093E+01
1.517, 1.4511E+02, 1.1969E+01
1.525, 1.4511E+02, 1.1260E+01
1.533, 1.4511E+02, 9.6670E+00
1.542, 1.4511E+02, 8.2506E+00
1.550, 1.4511E+02, 6.8342E+00
1.558, 1.4511E+02, 6.1260E+00
1.567, 1.4511E+02, 5.2407E+00
1.575, 1.4582E+02, 4.5325E+00
1.583, 1.4511E+02, 3.8243E+00
1.592, 1.4511E+02, 3.1161E+00
1.600, 1.4511E+02, 2.4079E+00
1.608, 1.4582E+02, 2.4079E+00
1.617, 1.4582E+02, 2.4079E+00
1.625, 1.4582E+02, 1.6997E+00
1.633, 1.4582E+02, 1.6997E+00
1.642, 1.4582E+02, 1.6997E+00
1.650, 1.4511E+02, 8.1443E-01
1.658, 1.4511E+02, 8.1443E-01
1.667, 1.4582E+02, 8.1443E-01
1.675, 1.4582E+02, 8.1443E-01
1.683, 1.4511E+02, 8.1443E-01
1.692, 1.4582E+02, 8.1443E-01
1.700, 1.4582E+02, 8.1443E-01
1.708, 1.4582E+02, 8.1443E-01
1.717, 1.4582E+02, 8.1443E-01
1.725, 1.4582E+02, 8.1443E-01
1.733, 1.4582E+02, 1.6997E+00
1.742, 1.4582E+02, 8.1443E-01
1.750, 1.4582E+02, 8.1443E-01
1.758, 1.4582E+02, 8.1443E-01
1.767, 1.4582E+02, 8.1443E-01
1.775, 1.4582E+02, 8.1443E-01
1.783, 1.4582E+02, 8.1443E-01
1.792, 1.4582E+02, 8.1443E-01
1.800, 1.4582E+02, 8.1443E-01
1.808, 1.4369E+02, 8.1443E-01
1.817, 1.4299E+02, 8.1443E-01
1.825, 1.4511E+02, 1.6997E+00
1.833, 1.4511E+02, 1.6997E+00
1.842, 1.4299E+02, 1.6997E+00
1.850, 1.4369E+02, 1.6997E+00
1.858, 1.4582E+02, 1.6997E+00
1.867, 1.4511E+02, 1.6997E+00
1.875, 1.4369E+02, 1.6997E+00
1.883, 1.4440E+02, 1.6997E+00
1.892, 1.4511E+02, 1.6997E+00
1.900, 1.4440E+02, 1.6997E+00
1.908, 1.4440E+02, 1.6997E+00
1.917, 1.4511E+02, 2.4079E+00
1.925, 1.4511E+02, 1.6997E+00
1.933, 1.4440E+02, 2.4079E+00
1.942, 1.4511E+02, 2.4079E+00
1.950, 1.4511E+02, 2.4079E+00
1.958, 1.4511E+02, 2.4079E+00
1.967, 1.4511E+02, 2.4079E+00
1.975, 1.4511E+02, 2.4079E+00
1.983, 1.4511E+02, 2.4079E+00
1.992, 1.4511E+02, 2.4079E+00
2.000, 1.4511E+02, 2.4079E+00
2.008, 1.4511E+02, 3.1161E+00
2.017, 1.4582E+02, 3.1161E+00
2.025, 1.4511E+02, 2.4079E+00
2.033, 1.4511E+02, 2.4079E+00
2.042, 1.4511E+02, 3.1161E+00
2.050, 1.4511E+02, 3.1161E+00
2.058, 1.4511E+02, 3.1161E+00
2.067, 1.4582E+02, 3.1161E+00
2.075, 1.4582E+02, 3.1161E+00
2.083, 1.4511E+02, 3.1161E+00
2.092, 1.4582E+02, 3.1161E+00
2.100, 1.4582E+02, 3.1161E+00
2.108, 1.4582E+02, 3.1161E+00
2.117, 1.4582E+02, 3.1161E+00
2.125, 1.4582E+02, 3.1161E+00
2.133, 1.4582E+02, 3.1161E+00
2.142, 1.4582E+02, 3.1161E+00
2.150, 1.4582E+02, 3.8243E+00
2.158, 1.4582E+02, 3.8243E+00
2.167, 1.4582E+02, 3.8243E+00
2.175, 1.4582E+02, 3.1161E+00
2.183, 1.4582E+02, 3.8243E+00
2.192, 1.4582E+02, 3.8243E+00
2.200, 1.4582E+02, 3.8243E+00
2.208, 1.4582E+02, 3.8243E+00
2.217, 1.4582E+02, 3.8243E+00
2.225, 1.4582E+02, 3.8243E+00
2.233, 1.4582E+02, 3.8243E+00
2.242, 1.4582E+02, 3.8243E+00
2.250, 1.4582E+02, 3.8243E+00
2.258, 1.4582E+02, 3.8243E+00
2.267, 1.4582E+02, 3.8243E+00
2.275, 1.4582E+02, 3.8243E+00
2.283, 1.4582E+02, 3.8243E+00
2.292, 1.4582E+02, 4.5325E+00
2.300, 1.4582E+02, 3.8243E+00
2.308, 1.4653E+02, 4.5325E+00
2.317, 1.4653E+02, 4.5325E+00
2.325, 1.4582E+02, 4.5325E+00
2.333, 1.4582E+02, 4.5325E+00
2.342, 1.4582E+02, 4.5325E+00
2.350, 1.4582E+02, 4.5325E+00
2.358, 1.4653E+02, 4.5325E+00
2.367, 1.4582E+02, 4.5325E+00
2.375, 1.4582E+02, 4.5325E+00
2.383, 1.4582E+02, 4.5325E+00
2.392, 1.4653E+02, 4.5325E+00
2.400, 1.4653E+02, 4.5325E+00
2.408, 1.4653E+02, 4.5325E+00
2.417, 1.4653E+02, 4.5325E+00
2.425, 1.4653E+02, 4.5325E+00
2.433, 1.4582E+02, 4.5325E+00
2.442, 1.4582E+02, 4.5325E+00
2.450, 1.4582E+02, 4.5325E+00
2.458, 1.4653E+02, 5.2407E+00
2.467, 1.4653E+02, 5.2407E+00
2.475, 1.4653E+02, 5.2407E+00
2.483, 1.4582E+02, 4.5325E+00
2.492, 1.4653E+02, 5.2407E+00
2.500, 1.4653E+02, 5.2407E+00
2.508, 1.4582E+02, 5.2407E+00
2.517, 1.4653E+02, 5.2407E+00
2.525, 1.4653E+02, 5.2407E+00
2.533, 1.4582E+02, 5.2407E+00
2.542, 1.4653E+02, 5.2407E+00
2.550, 1.4440E+02, 5.2407E+00
2.558, 1.0315E+02, 1.2677E+01
2.567, 9.8015E+01, 2.0821E+01
2.575, 9.5005E+01, 2.8080E+01
2.583, 1.0988E+02, 3.3215E+01
2.592, 1.2369E+02, 3.3923E+01
2.600, 1.2900E+02, 3.3215E+01
2.608, 1.3112E+02, 3.3215E+01
2.617, 1.3325E+02, 3.3215E+01
2.625, 1.3626E+02, 3.3215E+01
2.633, 1.3856E+02, 3.3215E+01
2.642, 1.3998E+02, 3.3215E+01
2.650, 1.4139E+02, 3.3215E+01
2.658, 1.4139E+02, 3.3215E+01
2.667, 1.0386E+02, 3.9057E+01
2.675, 9.8724E+01, 4.6494E+01
2.683, 9.5891E+01, 5.3044E+01
2.692, 9.5005E+01, 5.9064E+01
2.700, 1.1271E+02, 6.1189E+01
2.708, 1.2298E+02, 6.1189E+01
2.717, 1.2741E+02, 6.1189E+01
2.725, 1.2900E+02, 6.0481E+01
2.733, 1.3254E+02, 6.0481E+01
2.742, 1.3555E+02, 6.0481E+01
2.750, 1.3697E+02, 5.9772E+01
2.758, 1.3927E+02, 6.0481E+01
2.767, 1.4068E+02, 5.9772E+01
2.775, 1.4139E+02, 5.9772E+01
2.783, 1.1129E+02, 6.3490E+01
2.792, 1.0616E+02, 7.0749E+01
2.800, 1.0315E+02, 7.5884E+01
2.808, 1.0244E+02, 8.1018E+01
2.817, 1.0386E+02, 8.5445E+01
2.825, 1.0828E+02, 8.8455E+01
2.833, 1.2227E+02, 8.9163E+01
2.842, 1.2741E+02, 8.9163E+01
2.850, 1.2900E+02, 8.8455E+01
2.858, 1.3183E+02, 8.8455E+01
2.867, 1.3484E+02, 8.7746E+01
2.875, 1.3697E+02, 8.7746E+01
2.883, 1.3856E+02, 8.7746E+01
2.892, 1.3998E+02, 8.7746E+01
2.900, 1.4139E+02, 8.7746E+01
2.908, 1.4068E+02, 8.7746E+01
2.917, 1.1501E+02, 9.3589E+01
2.925, 1.1342E+02, 9.8015E+01
2.933, 1.1413E+02, 1.0244E+02
2.942, 1.1501E+02, 1.0527E+02
2.950, 1.1572E+02, 1.0899E+02
2.958, 1.1714E+02, 1.1112E+02
2.967, 1.2156E+02, 1.1342E+02
2.975, 1.2971E+02, 1.1342E+02
2.983, 1.3183E+02, 1.1271E+02
2.992, 1.3325E+02, 1.1271E+02
3.000, 1.3626E+02, 1.1271E+02
3.008, 1.3856E+02, 1.1200E+02
3.017, 1.3927E+02, 1.1200E+02
3.025, 1.4068E+02, 1.1200E+02
3.033, 1.2599E+02, 1.1484E+02
3.042, 1.2528E+02, 1.1855E+02
3.050, 1.2528E+02, 1.2068E+02
3.058, 1.2599E+02, 1.2298E+02
3.067, 1.2741E+02, 1.2510E+02
3.075, 1.2811E+02, 1.2670E+02
3.083, 1.2971E+02, 1.2811E+02
3.092, 1.3183E+02, 1.2882E+02
3.100, 1.3626E+02, 1.2882E+02
3.108, 1.3697E+02, 1.2882E+02
3.117, 1.3767E+02, 1.2882E+02
3.125, 1.3998E+02, 1.2811E+02
3.133, 1.4139E+02, 1.2811E+02
3.142, 1.4210E+02, 1.2811E+02
3.150, 1.4210E+02, 1.2811E+02
3.158, 1.3927E+02, 1.2811E+02
3.167, 1.3254E+02, 1.3024E+02
3.175, 1.3325E+02, 1.3254E+02
3.183, 1.3413E+02, 1.3325E+02
3.192, 1.3484E+02, 1.3466E+02
3.200, 1.3555E+02, 1.3555E+02
3.208, 1.3626E+02, 1.3626E+02
3.217, 1.3697E+02, 1.3626E+02
3.225, 1.3856E+02, 1.3767E+02
3.233, 1.4068E+02, 1.3697E+02
3.242, 1.4139E+02, 1.3767E+02
3.250, 1.4068E+02, 1.3697E+02
3.258, 1.4210E+02, 1.3697E+02
3.267, 1.4299E+02, 1.3697E+02
3.275, 1.4299E+02, 1.3626E+02
3.283, 1.3856E+02, 1.3697E+02
3.292, 1.3927E+02, 1.3838E+02
3.300, 1.3927E+02, 1.3838E+02
3.308, 1.3856E+02, 1.3909E+02
3.317, 1.3927E+02, 1.3980E+02
3.325, 1.3998E+02, 1.3980E+02
3.333, 1.3998E+02, 1.3980E+02
3.342, 1.4068E+02, 1.4068E+02
3.350, 1.4139E+02, 1.4068E+02
3.358, 1.4210E+02, 1.4068E+02
3.367, 1.4210E+02, 1.4068E+02
3.375, 1.4210E+02, 1.3980E+02
3.383, 1.4369E+02, 1.3980E+02
3.392, 1.4299E+02, 1.3980E+02
3.400, 1.4210E+02, 1.3980E+02
3.408, 1.3998E+02, 1.3980E+02
3.417, 1.4068E+02, 1.4068E+02
3.425, 1.3998E+02, 1.4068E+02
3.433, 1.4068E+02, 1.4139E+02
3.442, 1.4139E+02, 1.4139E+02
3.450, 1.4068E+02, 1.4139E+02
3.458, 1.4068E+02, 1.4139E+02
3.467, 1.4139E+02, 1.4139E+02
3.475, 1.4139E+02, 1.4139E+02
3.483, 1.4299E+02, 1.4139E+02
3.492, 1.4210E+02, 1.4210E+02
3.500, 1.4139E+02, 1.4139E+02
3.508, 1.4299E+02, 1.4139E+02
3.517, 1.4299E+02, 1.4139E+02
3.525, 1.4299E+02, 1.4139E+02
3.533, 1.4210E+02, 1.4139E+02
3.542, 1.4139E+02, 1.4210E+02
3.550, 1.4068E+02, 1.4139E+02
3.558, 1.4139E+02, 1.4139E+02
3.567, 1.4139E+02, 1.4210E+02
3.575, 1.4139E+02, 1.4210E+02
3.583, 1.4139E+02, 1.4210E+02
3.592, 1.4210E+02, 1.4210E+02
3.600, 1.4299E+02, 1.4210E+02
3.608, 1.4299E+02, 1.4210E+02
3.617, 1.4210E+02, 1.4210E+02
3.625, 1.4210E+02, 1.4210E+02
3.633, 1.4299E+02, 1.4210E+02
3.642, 1.4299E+02, 1.4210E+02
3.650, 1.4299E+02, 1.4210E+02
3.658, 1.4068E+02, 1.4139E+02
3.667, 1.4139E+02, 1.4139E+02
3.675, 1.4068E+02, 1.4210E+02
3.683, 1.4139E+02, 1.4210E+02
3.692, 1.4139E+02, 1.4210E+02
3.700, 1.4210E+02, 1.4210E+02
3.708, 1.4210E+02, 1.4210E+02
3.717, 1.4210E+02, 1.4210E+02
3.725, 1.4299E+02, 1.4210E+02
3.733, 1.4369E+02, 1.4210E+02
3.742, 1.4299E+02, 1.4210E+02
3.750, 1.4210E+02, 1.4210E+02
3.758, 1.4299E+02, 1.4210E+02
3.767, 1.4369E+02, 1.4210E+02
3.775, 1.4299E+02, 1.4210E+02
3.783, 1.4299E+02, 1.4139E+02
3.792, 1.4139E+02, 1.4210E+02
3.800, 1.4139E+02, 1.4210E+02
3.808, 1.4139E+02, 1.4210E+02
3.817, 1.4139E+02, 1.4210E+02
3.825, 1.4139E+02, 1.4210E+02
3.833, 1.4139E+02, 1.4210E+02
3.842, 1.4210E+02, 1.4210E+02
3.850, 1.4299E+02, 1.4210E+02
3.858, 1.4369E+02, 1.4210E+02
3.867, 1.4299E+02, 1.4210E+02
3.875, 1.4299E+02, 1.4210E+02
3.883, 1.4369E+02, 1.4210E+02
3.892, 1.4369E+02, 1.4210E+02
3.900, 1.4299E+02, 1.4210E+02
3.908, 1.4139E+02, 1.4210E+02
3.917, 1.4139E+02, 1.4210E+02
3.925, 1.4139E+02, 1.4210E+02
3.933, 1.4139E+02, 1.4210E+02
3.942, 1.4210E+02, 1.4210E+02
3.950, 1.4210E+02, 1.4210E+02
3.958, 1.4210E+02, 1.4210E+02
3.967, 1.4210E+02, 1.4210E+02
3.975, 1.4210E+02, 1.4210E+02
3.983, 1.4299E+02, 1.4210E+02
3.992, 1.4299E+02, 1.4210E+02
4.000, 1.4210E+02, 1.4210E+02
4.008, 1.4299E+02, 1.4210E+02
4.017, 1.4369E+02, 1.4210E+02
4.025, 1.4299E+02, 1.4210E+02
4.033, 1.4299E+02, 1.4210E+02
4.042, 1.4369E+02, 1.4210E+02
4.050, 1.4369E+02, 1.4210E+02
4.058, 1.4369E+02, 1.4210E+02
4.067, 1.4369E+02, 1.4210E+02
4.075, 1.4369E+02, 1.4210E+02
4.083, 1.4369E+02, 1.4210E+02
4.092, 1.4369E+02, 1.4210E+02
4.100, 1.4369E+02, 1.4139E+02
4.108, 1.4369E+02, 1.4210E+02
4.117, 1.4369E+02, 1.4139E+02
4.125, 1.4369E+02, 1.4139E+02
4.133, 1.4369E+02, 1.4139E+02
4.142, 1.4369E+02, 1.4139E+02
4.150, 1.4369E+02, 1.4139E+02
4.158, 1.4369E+02, 1.4139E+02
4.167, 1.4369E+02, 1.4139E+02
4.175, 1.4369E+02, 1.4139E+02
4.183, 1.4369E+02, 1.4139E+02
4.192, 1.4369E+02, 1.4139E+02
4.200, 1.4369E+02, 1.4139E+02
4.208, 1.4369E+02, 1.4139E+02
4.217, 1.4369E+02, 1.4139E+02
4.225, 1.4369E+02, 1.4139E+02
4.233, 1.4369E+02, 1.4139E+02
4.242, 1.4369E+02, 1.4139E+02
4.250, 1.4369E+02, 1.4139E+02
4.258, 1.4369E+02, 1.4068E+02
4.267, 1.4369E+02, 1.4068E+02
4.275, 1.4369E+02, 1.4068E+02
4.283, 1.4369E+02, 1.4068E+02
4.292, 1.4369E+02, 1.4139E+02
4.300, 1.4369E+02, 1.4068E+02
4.308, 1.4369E+02, 1.4068E+02
4.317, 1.4369E+02, 1.4068E+02
4.325, 1.4440E+02, 1.4068E+02
4.333, 1.4369E+02, 1.4068E+02
4.342, 1.4369E+02, 1.4068E+02
4.350, 1.4369E+02, 1.4068E+02
4.358, 1.4369E+02, 1.4068E+02
4.367, 1.4369E+02, 1.4068E+02
4.375, 1.4369E+02, 1.4068E+02
4.383, 1.4369E+02, 1.3980E+02
4.392, 1.4440E+02, 1.4068E+02
4.400, 1.4369E+02, 1.3980E+02
4.408, 1.4369E+02, 1.3980E+02
4.417, 1.4369E+02, 1.3980E+02
4.425, 1.4440E+02, 1.4068E+02
4.433, 1.4440E+02, 1.3980E+02
4.442, 1.4440E+02, 1.4068E+02
4.450, 1.4440E+02, 1.3980E+02
4.458, 1.4369E+02, 1.3980E+02
4.467, 1.4369E+02, 1.3980E+02
4.475, 1.4440E+02, 1.3980E+02
4.483, 1.4440E+02, 1.3980E+02
4.492, 1.4440E+02, 1.3980E+02
4.500, 1.4440E+02, 1.3980E+02
4.508, 1.4440E+02, 1.3980E+02
4.517, 1.4369E+02, 1.3980E+02
4.525, 1.4440E+02, 1.3980E+02
4.533, 1.4440E+02, 1.3980E+02
4.542, 1.4440E+02, 1.3980E+02
4.550, 1.4440E+02, 1.3909E+02
4.558, 1.4369E+02, 1.3909E+02
4.567, 1.4440E+02, 1.3980E+02
4.575, 1.4440E+02, 1.3980E+02
4.583, 1.4440E+02, 1.3909E+02
4.592, 1.4440E+02, 1.3980E+02
4.600, 1.4440E+02, 1.3909E+02
4.608, 1.4440E+02, 1.3909E+02
4.617, 1.4440E+02, 1.3980E+02
4.625, 1.4440E+02, 1.3909E+02
4.633, 1.4440E+02, 1.3909E+02
4.642, 1.4369E+02, 1.3909E+02
4.650, 1.4440E+02, 1.3980E+02
4.658, 1.4440E+02, 1.3909E+02
4.667, 1.4440E+02, 1.3909E+02
4.675, 1.4440E+02, 1.3909E+02
4.683, 1.4139E+02, 1.3980E+02
4.692, 1.4139E+02, 1.4068E+02
4.700, 1.4210E+02, 1.4139E+02
4.708, 1.4139E+02, 1.4210E+02
4.717, 1.4139E+02, 1.4210E+02
4.725, 1.4139E+02, 1.4210E+02
4.733, 1.4210E+02, 1.4210E+02
4.742, 1.4139E+02, 1.4210E+02
4.750, 1.4210E+02, 1.4281E+02
4.758, 1.4299E+02, 1.4281E+02
4.767, 1.4210E+02, 1.4281E+02
4.775, 1.4299E+02, 1.4352E+02
4.783, 1.4299E+02, 1.4281E+02
4.792, 1.4299E+02, 1.4352E+02
4.800, 1.4369E+02, 1.4352E+02
4.808, 1.4299E+02, 1.4352E+02
4.817, 1.4299E+02, 1.4352E+02
4.825, 1.4299E+02, 1.4352E+02
4.833, 1.4369E+02, 1.4352E+02
4.842, 1.4369E+02, 1.4352E+02
4.850, 1.4369E+02, 1.4352E+02
4.858, 1.4369E+02, 1.4423E+02
4.867, 1.4369E+02, 1.4352E+02
4.875, 1.4369E+02, 1.4352E+02
4.883, 1.4369E+02, 1.4352E+02
4.892, 1.4369E+02, 1.4423E+02
4.900, 1.4369E+02, 1.4423E+02
4.908, 1.4369E+02, 1.4423E+02
4.917, 1.4369E+02, 1.4423E+02
4.925, 1.4369E+02, 1.4423E+02
4.933, 1.4369E+02, 1.4423E+02
4.942, 1.4369E+02, 1.4423E+02
4.950, 1.4369E+02, 1.4423E+02
4.958, 1.4369E+02, 1.4423E+02
4.967, 1.4369E+02, 1.4423E+02
4.975, 1.4369E+02, 1.4423E+02
4.983, 1.4369E+02, 1.4423E+02
4.992, 1.4369E+02, 1.4423E+02
5.000, 1.4369E+02, 1.4423E+02
5.008, 1.4369E+02, 1.4423E+02
5.017, 1.4369E+02, 1.4423E+02
5.025, 1.4369E+02, 1.4423E+02
5.033, 1.4369E+02, 1.4423E+02
5.042, 1.4369E+02, 1.4423E+02
5.050, 1.4440E+02, 1.4423E+02
5.058, 1.4369E+02, 1.4423E+02
5.067, 1.4369E+02, 1.4423E+02
5.075, 1.4369E+02, 1.4423E+02
5.083, 1.4369E+02, 1.4423E+02
5.092, 1.4369E+02, 1.4352E+02
5.100, 1.3112E+02, 1.3396E+02
5.108, 1.4139E+02, 1.2156E+02
5.117, 1.2528E+02, 1.1554E+02
5.125, 1.2528E+02, 1.1855E+02
5.133, 1.3254E+02, 1.1997E+02
5.142, 1.3856E+02, 1.1997E+02
5.150, 1.3626E+02, 1.1997E+02
5.158, 1.3856E+02, 1.1997E+02
5.167, 1.4139E+02, 1.1997E+02
5.175, 1.4299E+02, 1.1997E+02
5.183, 1.4139E+02, 1.1997E+02
5.192, 1.4299E+02, 1.1997E+02
5.200, 1.4369E+02, 1.1997E+02
5.208, 1.4369E+02, 1.1997E+02
5.217, 1.4299E+02, 1.1997E+02
5.225, 1.4369E+02, 1.1926E+02
5.233, 1.4369E+02, 1.0899E+02
5.242, 1.4068E+02, 9.8724E+01
5.250, 1.3927E+02, 9.8015E+01
5.258, 1.4369E+02, 9.8015E+01
5.267, 1.4210E+02, 9.8015E+01
5.275, 1.3998E+02, 9.8015E+01
5.283, 1.4139E+02, 9.8015E+01
5.292, 1.4440E+02, 9.8015E+01
5.300, 1.4299E+02, 9.8015E+01
5.308, 1.4210E+02, 9.8015E+01
