"Samples per sec. = 240/1"
""
""
"sec","PSI","PSI"
3.192, 1.4299E+02, 1.4139E+02
3.200, 1.4299E+02, 1.4139E+02
3.208, 1.4139E+02, 1.4139E+02
3.217, 1.4068E+02, 1.4139E+02
3.225, 1.3998E+02, 1.4139E+02
3.233, 1.4139E+02, 1.4210E+02
3.242, 1.4139E+02, 1.4210E+02
3.250, 1.4210E+02, 1.4210E+02
3.258, 1.4210E+02, 1.4210E+02
3.267, 1.4210E+02, 1.4210E+02
3.275, 1.4299E+02, 1.4210E+02
3.283, 1.4299E+02, 1.4210E+02
3.292, 1.4210E+02, 1.4210E+02
3.300, 1.4299E+02, 1.4210E+02
3.308, 1.4299E+02, 1.4210E+02
3.317, 1.4299E+02, 1.4139E+02
3.325, 1.4299E+02, 1.4139E+02
3.333, 1.4369E+02, 1.4139E+02
3.342, 1.4369E+02, 1.4139E+02
3.350, 1.4299E+02, 1.4139E+02
3.358, 1.4299E+02, 1.4139E+02
3.367, 1.4369E+02, 1.4139E+02
3.375, 1.4299E+02, 1.4139E+02
3.383, 1.4369E+02, 1.4139E+02
3.392, 1.4369E+02, 1.4139E+02
3.400, 1.4299E+02, 1.4139E+02
3.408, 1.4369E+02, 1.4139E+02
3.417, 1.4369E+02, 1.4139E+02
3.425, 1.4369E+02, 1.4139E+02
3.433, 1.4369E+02, 1.4139E+02
3.442, 1.4369E+02, 1.4068E+02
3.450, 1.4369E+02, 1.4068E+02
3.458, 1.4369E+02, 1.4139E+02
3.467, 1.4369E+02, 1.4068E+02
3.475, 1.4369E+02, 1.4139E+02
3.483, 1.4369E+02, 1.4068E+02
3.492, 1.4369E+02, 1.4068E+02
3.500, 1.4369E+02, 1.4068E+02
3.508, 1.4369E+02, 1.4068E+02
3.517, 1.4369E+02, 1.4068E+02
3.525, 1.4369E+02, 1.4068E+02
3.533, 1.4369E+02, 1.4068E+02
3.542, 1.4369E+02, 1.4068E+02
3.550, 1.4369E+02, 1.4068E+02
3.558, 1.4369E+02, 1.4068E+02
3.567, 1.4369E+02, 1.3980E+02
3.575, 1.4369E+02, 1.4068E+02
3.583, 1.4369E+02, 1.3980E+02
3.592, 1.4369E+02, 1.4068E+02
3.600, 1.4369E+02, 1.3980E+02
3.608, 1.4369E+02, 1.3980E+02
3.617, 1.4369E+02, 1.3980E+02
3.625, 1.4369E+02, 1.3980E+02
3.633, 1.4369E+02, 1.3980E+02
3.642, 1.4369E+02, 1.3980E+02
3.650, 1.4369E+02, 1.3980E+02
3.658, 1.4369E+02, 1.3980E+02
3.667, 1.4369E+02, 1.3980E+02
3.675, 1.4369E+02, 1.3980E+02
3.683, 1.4369E+02, 1.3980E+02
3.692, 1.4369E+02, 1.3980E+02
3.700, 1.4369E+02, 1.3980E+02
3.708, 1.4369E+02, 1.3980E+02
3.717, 1.4369E+02, 1.3980E+02
3.725, 1.4369E+02, 1.3980E+02
3.733, 1.4369E+02, 1.3909E+02
3.742, 1.4369E+02, 1.3980E+02
3.750, 1.3856E+02, 1.3980E+02
3.758, 1.4068E+02, 1.4068E+02
3.767, 1.4068E+02, 1.4139E+02
3.775, 1.4139E+02, 1.4210E+02
3.783, 1.4139E+02, 1.4210E+02
3.792, 1.4139E+02, 1.4210E+02
3.800, 1.4139E+02, 1.4210E+02
3.808, 1.4210E+02, 1.4210E+02
3.817, 1.4210E+02, 1.4210E+02
3.825, 1.4210E+02, 1.4281E+02
3.833, 1.4299E+02, 1.4281E+02
3.842, 1.4299E+02, 1.4281E+02
3.850, 1.4299E+02, 1.4281E+02
3.858, 1.4299E+02, 1.4281E+02
3.867, 1.4299E+02, 1.4281E+02
3.875, 1.4299E+02, 1.4352E+02
3.883, 1.4299E+02, 1.4352E+02
3.892, 1.4299E+02, 1.4352E+02
3.900, 1.4299E+02, 1.4352E+02
3.908, 1.4299E+02, 1.4352E+02
3.917, 1.4299E+02, 1.4352E+02
3.925, 1.4299E+02, 1.4352E+02
3.933, 1.4299E+02, 1.4352E+02
3.942, 1.4299E+02, 1.4352E+02
3.950, 1.4299E+02, 1.4352E+02
3.958, 1.4299E+02, 1.4352E+02
3.967, 1.4369E+02, 1.4352E+02
3.975, 1.4369E+02, 1.4352E+02
3.983, 1.4299E+02, 1.4352E+02
3.992, 1.4369E+02, 1.4352E+02
4.000, 1.4369E+02, 1.4352E+02
4.008, 1.4369E+02, 1.4352E+02
4.017, 1.4369E+02, 1.4352E+02
4.025, 1.4369E+02, 1.4423E+02
4.033, 1.4369E+02, 1.4352E+02
4.042, 1.4369E+02, 1.4352E+02
4.050, 1.4299E+02, 1.4352E+02
4.058, 1.4369E+02, 1.4352E+02
4.067, 1.4369E+02, 1.4352E+02
4.075, 1.4369E+02, 1.4423E+02
4.083, 1.4369E+02, 1.4352E+02
4.092, 1.4369E+02, 1.4352E+02
4.100, 1.4369E+02, 1.4423E+02
4.108, 1.4369E+02, 1.4423E+02
4.117, 1.4369E+02, 1.4352E+02
4.125, 1.4369E+02, 1.4423E+02
4.133, 1.4369E+02, 1.4423E+02
4.142, 1.4369E+02, 1.4423E+02
4.150, 1.4299E+02, 1.4423E+02
4.158, 1.4299E+02, 1.4352E+02
4.167, 1.2811E+02, 1.4068E+02
4.175, 1.3484E+02, 1.2882E+02
4.183, 1.3856E+02, 1.1997E+02
4.192, 1.3998E+02, 1.1926E+02
4.200, 1.3856E+02, 1.1926E+02
4.208, 1.4068E+02, 1.1926E+02
4.217, 1.4210E+02, 1.1926E+02
4.225, 1.4299E+02, 1.1926E+02
4.233, 1.4210E+02, 1.1926E+02
4.242, 1.4299E+02, 1.1926E+02
4.250, 1.4369E+02, 1.1926E+02
4.258, 1.4369E+02, 1.1926E+02
4.267, 1.4369E+02, 1.1926E+02
4.275, 1.4369E+02, 1.1926E+02
4.283, 1.4440E+02, 1.1926E+02
4.292, 1.4299E+02, 1.1926E+02
4.300, 1.4369E+02, 1.1714E+02
4.308, 1.4369E+02, 1.0899E+02
4.317, 1.4068E+02, 1.0598E+02
4.325, 1.4440E+02, 1.0598E+02
4.333, 1.4440E+02, 1.0598E+02
4.342, 1.4139E+02, 1.0598E+02
4.350, 1.4299E+02, 1.0598E+02
4.358, 1.4440E+02, 1.0598E+02
4.367, 1.4369E+02, 1.0598E+02
4.375, 1.4299E+02, 1.0527E+02
4.383, 1.4369E+02, 1.0598E+02
4.392, 1.4440E+02, 1.0598E+02
4.400, 1.4299E+02, 1.0598E+02
4.408, 1.4369E+02, 1.0598E+02
4.417, 1.4369E+02, 1.0527E+02
4.425, 1.4440E+02, 1.0315E+02
4.433, 1.3998E+02, 9.8724E+01
4.442, 1.4369E+02, 9.8724E+01
4.450, 1.4440E+02, 9.8724E+01
4.458, 1.4210E+02, 9.8724E+01
4.467, 1.4139E+02, 9.8724E+01
4.475, 1.4440E+02, 9.8724E+01
4.483, 1.4369E+02, 9.8724E+01
4.492, 1.4299E+02, 9.8724E+01
4.500, 1.4299E+02, 9.8724E+01
4.508, 1.4440E+02, 9.8724E+01
4.517, 1.4369E+02, 9.8724E+01
4.525, 1.4299E+02, 9.8724E+01
4.533, 1.4369E+02, 9.8724E+01
4.542, 1.4369E+02, 9.8724E+01
4.550, 1.4369E+02, 9.8724E+01
4.558, 1.4369E+02, 9.5005E+01
4.567, 1.4068E+02, 9.4297E+01
4.575, 1.4511E+02, 9.4297E+01
4.583, 1.4440E+02, 9.4297E+01
4.592, 1.4139E+02, 9.4297E+01
4.600, 1.4299E+02, 9.4297E+01
4.608, 1.4440E+02, 9.4297E+01
4.617, 1.4369E+02, 9.4297E+01
4.625, 1.4299E+02, 9.4297E+01
4.633, 1.4369E+02, 9.4297E+01
4.642, 1.4440E+02, 9.4297E+01
4.650, 1.4369E+02, 9.4297E+01
4.658, 1.4369E+02, 9.4297E+01
4.667, 1.4369E+02, 9.4297E+01
4.675, 1.4369E+02, 9.3589E+01
4.683, 1.3998E+02, 9.0579E+01
4.692, 1.4369E+02, 9.0579E+01
4.700, 1.4440E+02, 9.0579E+01
4.708, 1.4299E+02, 9.0579E+01
4.717, 1.4139E+02, 9.0579E+01
4.725, 1.4440E+02, 9.1287E+01
4.733, 1.4369E+02, 9.0579E+01
4.742, 1.4299E+02, 9.1287E+01
4.750, 1.4299E+02, 9.0579E+01
4.758, 1.4440E+02, 9.0579E+01
4.767, 1.4369E+02, 9.0579E+01
4.775, 1.4369E+02, 9.0579E+01
4.783, 1.4369E+02, 9.0579E+01
4.792, 1.4369E+02, 9.1287E+01
4.800, 1.4369E+02, 9.0579E+01
4.808, 1.4369E+02, 8.9163E+01
4.817, 1.4068E+02, 8.8455E+01
4.825, 1.4511E+02, 8.8455E+01
4.833, 1.4440E+02, 8.8455E+01
4.842, 1.4139E+02, 8.9163E+01
4.850, 1.4299E+02, 8.8455E+01
4.858, 1.4511E+02, 8.9163E+01
4.867, 1.4369E+02, 8.8455E+01
4.875, 1.4299E+02, 8.9163E+01
4.883, 1.4369E+02, 8.8455E+01
4.892, 1.4440E+02, 8.9163E+01
4.900, 1.4369E+02, 8.9163E+01
